id,province_city,city_mun_brgy,latitude,longitude
416,Zamboanga del Sur,Midsalip,8.0305556,123.3158333
417,Zamboanga del Sur,Molave,8.0927778,123.485
418,Zamboanga del Sur,Pagadian,7.825,123.4363889
419,Zamboanga del Sur,Pitogo,7.4516667,123.3133333
420,Zamboanga del Sur,Ramon Magsaysay(Liargo),8.0038889,123.4855556
421,Zamboanga del Sur,San Miguel,7.6483333,123.2675
422,Zamboanga del Sur,San Pablo,7.6558333,123.4611111
423,Zamboanga del Sur,Sominot (Don Mariano Marcos),8.0411111,123.3822222
424,Zamboanga del Sur,Tabina,7.4652778,123.41
425,Zamboanga del Sur,Tambulig,8.0680556,123.5352778
426,Zamboanga del Sur,Tigbao,7.8202778,123.2277778
427,Zamboanga del Sur,Tukuran,7.855,123.575
428,Zamboanga del Sur,Vincenzo A. Sagun,7.5163889,123.1763889
429,Zamboanga del Sur,Zamboanga,6.9047222,122.0763889
430,Zamboanga Sibugay,Alicia,7.505,122.9413889
431,Zamboanga Sibugay,Buug,7.7227778,123.0577778
432,Zamboanga Sibugay,Diplahan,7.6916667,122.9852778
433,Zamboanga Sibugay,Imelda,7.6422222,122.9341667
434,Zamboanga Sibugay,Ipil,7.7825,122.5869444
435,Zamboanga Sibugay,Kabasalan,7.7975,122.7619444
436,Zamboanga Sibugay,Mabuhay,7.4175,122.8361111
437,Zamboanga Sibugay,Malangas,7.6291667,123.0305556
438,Zamboanga Sibugay,Naga,7.7883333,122.6952778
439,Zamboanga Sibugay,Olutanga,7.3083333,122.845
440,Zamboanga Sibugay,Payao,7.5858333,122.8022222
441,Zamboanga Sibugay,Roseller Lim,7.6586111,122.4663889
442,Zamboanga Sibugay,Siay,7.7061111,122.8641667
443,Zamboanga Sibugay,Talusan,7.4266667,122.8102778
444,Zamboanga Sibugay,Titay,7.8677778,122.5605556
445,Zamboanga Sibugay,Tungawan,7.6013889,122.4261111
446,Bohol,Alburquerque,9.6102778,123.9572222
447,Bohol,Alicia,9.8986111,124.4408333
448,Bohol,Anda,9.7452778,124.5763889
449,Bohol,Antequera,9.7811111,123.8977778
450,Bohol,Baclayon,9.6225,123.9116667
451,Bohol,Balilihan,9.7561111,123.9716667
452,Bohol,Batuan,9.7838889,124.1491667
453,Bohol,Bien Unido,10.1377778,124.3788889
454,Bohol,Bilar,9.7069444,124.1044444
455,Bohol,Buenavista,10.0816667,124.1091667
456,Bohol,Calape,9.8905556,123.8716667
457,Bohol,Candijay,9.8172222,124.4961111
458,Bohol,Carmen,9.8247222,124.1975
459,Bohol,Catigbian,9.8508333,124
460,Bohol,Clarin,9.9625,124.0244444
461,Bohol,Corella,9.6872222,123.9213889
462,Bohol,Cortes,9.7225,123.8791667
463,Bohol,Dagohoy,9.9363889,124.3152778
464,Bohol,Danao,9.9447222,124.2219444
465,Bohol,Dauis,9.6238889,123.8663889
466,Bohol,Dimiao,9.6058333,124.1625
467,Bohol,Duero,9.7061111,124.4052778
468,Bohol,Garcia Hernandez,9.6136111,124.295
469,Bohol,Getafe (Jetafe),10.1497222,124.1533333
470,Bohol,Guindulman,9.7616667,124.4875
471,Bohol,Inabanga,10.0322222,124.0663889
472,Bohol,Jagna,9.65,124.3661111
473,Bohol,Lila,9.5905556,124.0952778
474,Bohol,Loay,9.6,124.0105556
475,Bohol,Loboc,9.6363889,124.0316667
476,Bohol,Loon,9.7988889,123.7936111
477,Bohol,Mabini,9.865,124.5197222
478,Bohol,Maribojoc,9.7408333,123.8427778
479,Bohol,Panglao,9.5794444,123.7458333
480,Bohol,Pilar,9.8538889,124.3475
481,Bohol,President Carlos P. Garcia,10.1208333,124.5536111
482,Bohol,Sagbayan,9.9130556,124.0933333
483,Bohol,San Isidro,9.8591667,123.9563889
484,Bohol,San Miguel,9.9863889,124.3386111
485,Bohol,Sevilla,9.7033333,124.0463889
486,Bohol,Sierra Bullones,9.8077778,124.2913889
487,Bohol,Sikatuna,9.6877778,123.9738889
488,Bohol,Tagbilaran,9.6405556,123.8563889
489,Bohol,Talibon,10.1491667,124.3247222
490,Bohol,Trinidad,10.0772222,124.3405556
491,Bohol,Tubigon,9.9513889,123.9616667
492,Bohol,Ubay,10.0580556,124.4716667
493,Bohol,Valencia,9.6091667,124.205
